"tss_id"	"gene_symbol"	"chr"	"strand"	"promoter"	"position"	"transcripts"
"IVL_P1"	"IVL"	"chr1"	"+"	"P1"	152908548	"ENST00000368764"
"IVNS1ABP_P1"	"IVNS1ABP"	"chr1"	"-"	"P1"	185317243	"ENST00000367498"
"IWS1_P1"	"IWS1"	"chr2"	"-"	"P1"	127526489	"ENST00000295321"
"IYD_P1"	"IYD"	"chr6"	"+"	"P1"	150369012	"ENST00000229447"
"IZUMO1_P2"	"IZUMO1"	"chr19"	"-"	"P2"	48741523	"ENST00000599871"
"IZUMO1_P3"	"IZUMO1"	"chr19"	"-"	"P3"	48745859	"ENST00000595937"
"IZUMO1_P1"	"IZUMO1"	"chr19"	"-"	"P1"	48746877	"ENST00000332955"
"IZUMO1R_P1"	"IZUMO1R"	"chr11"	"+"	"P1"	94305593	"ENST00000328458"
"IZUMO2_P1"	"IZUMO2"	"chr19"	"-"	"P1"	50163180	"ENST00000293405"
"IZUMO3_P1"	"IZUMO3"	"chr9"	"-"	"P1"	24545897	"ENST00000543880"
"IZUMO4_P1"	"IZUMO4"	"chr19"	"+"	"P1"	2096975	"ENST00000497445"
"JADE1_P1"	"JADE1"	"chr4"	"+"	"P1"	128809700	"ENST00000226319"
"JADE1_P2"	"JADE1"	"chr4"	"+"	"P2"	128811291	"ENST00000610919"
"JADE2_P2"	"JADE2"	"chr5"	"+"	"P2"	134524315	"ENST00000512386"
"JADE2_P1"	"JADE2"	"chr5"	"+"	"P1"	134525670	"ENST00000282605"
"JADE3_P1"	"JADE3"	"chrX"	"+"	"P1"	46912421	"ENST00000424392"
"JAG1_P1"	"JAG1"	"chr20"	"-"	"P1"	10673999	"ENST00000254958"
"JAG2_P1"	"JAG2"	"chr14"	"-"	"P1"	105168770	"ENST00000331782"
"JAGN1_P1"	"JAGN1"	"chr3"	"+"	"P1"	9890610	"ENST00000307768"
"JAK1_P1"	"JAK1"	"chr1"	"-"	"P1"	64966549	"ENST00000342505"
"JAK2_P1"	"JAK2"	"chr9"	"+"	"P1"	4985272	"ENST00000476574"
"JAK3_P1"	"JAK3"	"chr19"	"-"	"P1"	17847982	"ENST00000527031"
"JAKMIP1_P1"	"JAKMIP1"	"chr4"	"-"	"P1"	6200549	"ENST00000409021"
"JAKMIP2_P1"	"JAKMIP2"	"chr5"	"-"	"P1"	147782728	"ENST00000616793"
"JAKMIP3_P1"	"JAKMIP3"	"chr10"	"+"	"P1"	132104671	"ENST00000298622"
"JAKMIP3_P2"	"JAKMIP3"	"chr10"	"+"	"P2"	132143716	"ENST00000477275"
"JAM2_P1"	"JAM2"	"chr21"	"+"	"P1"	25639713	"ENST00000400532"
"JAM3_P1"	"JAM3"	"chr11"	"+"	"P1"	134069072	"ENST00000299106"
"JAML_P1"	"JAML"	"chr11"	"-"	"P1"	118225011	"ENST00000356289"
"JARID2_P1"	"JARID2"	"chr6"	"+"	"P1"	15246071	"ENST00000341776"
"JARID2_P2"	"JARID2"	"chr6"	"+"	"P2"	15248920	"ENST00000397311"
"JAZF1_P1"	"JAZF1"	"chr7"	"-"	"P1"	28180790	"ENST00000283928"
"JCAD_P1"	"JCAD"	"chr10"	"-"	"P1"	30059582	"ENST00000375377"
"JCHAIN_P1"	"JCHAIN"	"chr4"	"-"	"P1"	70666508	"ENST00000254801"
"JDP2_P1"	"JDP2"	"chr14"	"+"	"P1"	75428022	"ENST00000419727"
"JHY_P1"	"JHY"	"chr11"	"+"	"P1"	122882759	"ENST00000227349"
"JKAMP_P1"	"JKAMP"	"chr14"	"+"	"P1"	59484517	"ENST00000261247"
"JMJD1C_P1"	"JMJD1C"	"chr10"	"-"	"P1"	63269214	"ENST00000402544"
"JMJD1C_P3"	"JMJD1C"	"chr10"	"-"	"P3"	63465977	"ENST00000399262"
"JMJD1C_P2"	"JMJD1C"	"chr10"	"-"	"P2"	63521890	"ENST00000633035"
"JMJD4_P1"	"JMJD4"	"chr1"	"-"	"P1"	227735283	"ENST00000366758"
"JMJD6_P1"	"JMJD6"	"chr17"	"-"	"P1"	76726533	"ENST00000445478"
"JMJD7_P1"	"JMJD7"	"chr15"	"+"	"P1"	41828113	"ENST00000397299"
"JMJD8_P1"	"JMJD8"	"chr16"	"-"	"P1"	684332	"ENST00000412368"
"JMY_P1"	"JMY"	"chr5"	"+"	"P1"	79236131	"ENST00000396137"
"JOSD1_P1"	"JOSD1"	"chr22"	"-"	"P1"	38700940	"ENST00000216039"
"JOSD2_P1"	"JOSD2"	"chr19"	"-"	"P1"	50511237	"ENST00000601423"
"JPH1_P1"	"JPH1"	"chr8"	"-"	"P1"	74321540	"ENST00000342232"
"JPH2_P1"	"JPH2"	"chr20"	"-"	"P1"	44187188	"ENST00000372980"
"JPH3_P1"	"JPH3"	"chr16"	"+"	"P1"	87602508	"ENST00000301008"
"JPH4_P1"	"JPH4"	"chr14"	"-"	"P1"	23578790	"ENST00000356300"
"JPT1_P1"	"JPT1"	"chr17"	"-"	"P1"	75154512	"ENST00000476258"
"JPT2_P1"	"JPT2"	"chr16"	"+"	"P1"	1678279	"ENST00000569256"
"JRK_P1"	"JRK"	"chr8"	"-"	"P1"	142669967	"ENST00000612905"
"JRK_P2(W)"	"JRK"	"chr8"	"-"	"P2(W)"	142681960	NA
"JRKL_P1"	"JRKL"	"chr11"	"+"	"P1"	96390013	"ENST00000546177"
"JSRP1_P1"	"JSRP1"	"chr19"	"-"	"P1"	2256417	"ENST00000300961"
"JTB_P1"	"JTB"	"chr1"	"-"	"P1"	153977674	"ENST00000271843"
"JUN_P1"	"JUN"	"chr1"	"-"	"P1"	58784047	"ENST00000371222"
"JUNB_P1"	"JUNB"	"chr19"	"+"	"P1"	12791486	"ENST00000302754"
"JUND_P1"	"JUND"	"chr19"	"-"	"P1"	18281622	"ENST00000252818"
"JUP_P1"	"JUP"	"chr17"	"-"	"P1"	41786711	"ENST00000310706"
"KAAG1_P1"	"KAAG1"	"chr6"	"+"	"P1"	24356903	"ENST00000274766"
"KALRN_ENST00000360013(W)"	"KALRN"	"chr3"	"+"	"ENST00000360013(W)"	124094711	NA
"KALRN_P1"	"KALRN"	"chr3"	"+"	"P1"	124384828	"ENST00000522553"
"KANK1_P2"	"KANK1"	"chr9"	"+"	"P2"	504733	"ENST00000619269"
"KANK1_P1"	"KANK1"	"chr9"	"+"	"P1"	707053	"ENST00000382293"
"KANK2_P1"	"KANK2"	"chr19"	"-"	"P1"	11197534	"ENST00000586659"
"KANK3_P1"	"KANK3"	"chr19"	"-"	"P1"	8343262	"ENST00000330915"
"KANK4_P1"	"KANK4"	"chr1"	"-"	"P1"	62319399	"ENST00000371153"
"KANSL1_P1"	"KANSL1"	"chr17"	"-"	"P1"	46193379	"ENST00000432791"
"KANSL1L_P1"	"KANSL1L"	"chr2"	"-"	"P1"	210171383	"ENST00000281772"
"KANSL2_P1"	"KANSL2"	"chr12"	"-"	"P1"	48682238	"ENST00000546701"
"KANSL3_P1"	"KANSL3"	"chr2"	"-"	"P1"	96638312	"ENST00000354204"
"KANTR_P1"	"KANTR"	"chrX"	"+"	"P1"	53094151	"ENST00000605526"
"KARS_P1"	"KARS"	"chr16"	"-"	"P1"	75647665	"ENST00000319410"
"KAT14_P1"	"KAT14"	"chr20"	"+"	"P1"	18137873	"ENST00000464792"
"KAT2A_P1"	"KAT2A"	"chr17"	"-"	"P1"	42121356	"ENST00000225916"
"KAT2B_P1"	"KAT2B"	"chr3"	"+"	"P1"	20040403	"ENST00000263754"
"KAT5_P1"	"KAT5"	"chr11"	"+"	"P1"	65712252	"ENST00000377046"
"KAT6A_P1"	"KAT6A"	"chr8"	"-"	"P1"	42051987	"ENST00000406337"
"KAT6B_P2"	"KAT6B"	"chr10"	"+"	"P2"	74825479	"ENST00000648159"
"KAT6B_P1"	"KAT6B"	"chr10"	"+"	"P1"	74826600	"ENST00000648892"
"KAT7_P1"	"KAT7"	"chr17"	"+"	"P1"	49788681	"ENST00000259021"
"KAT8_P1"	"KAT8"	"chr16"	"+"	"P1"	31117664	"ENST00000448516"
"KAT8_P2(W)"	"KAT8"	"chr16"	"+"	"P2(W)"	31130018	NA
"KATNA1_P1"	"KATNA1"	"chr6"	"-"	"P1"	149648714	"ENST00000335643"
"KATNAL1_P1"	"KATNAL1"	"chr13"	"-"	"P1"	30307440	"ENST00000380615"
"KATNAL2_P1"	"KATNAL2"	"chr18"	"+"	"P1"	46917602	"ENST00000592005"
"KATNB1_P1"	"KATNB1"	"chr16"	"+"	"P1"	57735781	"ENST00000379661"
"KATNBL1_P1"	"KATNBL1"	"chr15"	"-"	"P1"	34210035	"ENST00000256544"
"KAZALD1_P1"	"KAZALD1"	"chr10"	"+"	"P1"	101061989	"ENST00000370200"
"KAZN_P2"	"KAZN"	"chr1"	"+"	"P2"	14598691	"ENST00000491547"
"KAZN_P1"	"KAZN"	"chr1"	"+"	"P1"	14924162	"ENST00000361144"
"KBTBD11_P1"	"KBTBD11"	"chr8"	"+"	"P1"	1973699	"ENST00000320248"
"KBTBD12_P1"	"KBTBD12"	"chr3"	"+"	"P1"	127915477	"ENST00000405109"
"KBTBD13_P1"	"KBTBD13"	"chr15"	"+"	"P1"	65076746	"ENST00000432196"
"KBTBD2_P1"	"KBTBD2"	"chr7"	"-"	"P1"	32891759	"ENST00000304056"
"KBTBD3_P1"	"KBTBD3"	"chr11"	"-"	"P1"	106077347	"ENST00000534815"
"KBTBD4_ENST00000450908(W)"	"KBTBD4"	"chr11"	"+"	"ENST00000450908(W)"	47577724	NA
"KBTBD4_P1"	"KBTBD4"	"chr11"	"-"	"P1"	47578969	"ENST00000526005"
"KBTBD6_P1"	"KBTBD6"	"chr13"	"-"	"P1"	41132799	"ENST00000379485"
"KBTBD7_P1"	"KBTBD7"	"chr13"	"-"	"P1"	41194569	"ENST00000379483"
"KBTBD8_P1"	"KBTBD8"	"chr3"	"+"	"P1"	66998307	"ENST00000484414"
"KCMF1_P1"	"KCMF1"	"chr2"	"+"	"P1"	84971161	"ENST00000456682"
"KCNA1_P1"	"KCNA1"	"chr12"	"+"	"P1"	4909905	"ENST00000382545"
"KCNA10_P1"	"KCNA10"	"chr1"	"-"	"P1"	110519175	"ENST00000369771"
"KCNA2_P2(W)"	"KCNA2"	"chr1"	"-"	"P2(W)"	110606358	NA
"KCNA2_P1"	"KCNA2"	"chr1"	"-"	"P1"	110607383	"ENST00000525120"
"KCNA3_P1"	"KCNA3"	"chr1"	"-"	"P1"	110674940	"ENST00000369769"
"KCNA4_P1"	"KCNA4"	"chr11"	"-"	"P1"	30016989	"ENST00000328224"
"KCNA5_P1"	"KCNA5"	"chr12"	"+"	"P1"	5043879	"ENST00000252321"
"KCNA7_P1"	"KCNA7"	"chr19"	"-"	"P1"	49072695	"ENST00000221444"
"KCNAB1_P1"	"KCNAB1"	"chr3"	"+"	"P1"	156291037	"ENST00000618897"
"KCNAB2_P2"	"KCNAB2"	"chr1"	"+"	"P2"	5992707	"ENST00000378097"
"KCNAB2_P1"	"KCNAB2"	"chr1"	"+"	"P1"	6026333	"ENST00000352527"
"KCNAB3_P1"	"KCNAB3"	"chr17"	"-"	"P1"	7929819	"ENST00000303790"
"KCNB1_P1"	"KCNB1"	"chr20"	"-"	"P1"	49484278	"ENST00000635465"
"KCNB2_P1"	"KCNB2"	"chr8"	"+"	"P1"	72536997	"ENST00000523207"
"KCNC1_P1"	"KCNC1"	"chr11"	"+"	"P1"	17734797	"ENST00000379472"
"KCNC1_P2(W)"	"KCNC1"	"chr11"	"+"	"P2(W)"	17736136	NA
"KCNC2_P1"	"KCNC2"	"chr12"	"-"	"P1"	75209748	"ENST00000549446"
"KCNC3_P1"	"KCNC3"	"chr19"	"-"	"P1"	50329071	"ENST00000376959"
"KCNC3_P2(W)"	"KCNC3"	"chr19"	"-"	"P2(W)"	50333532	NA
"KCNC4_P1P2(W)"	"KCNC4"	"chr1"	"+"	"P1P2(W)"	110210316	NA
"KCNC4_P1"	"KCNC4"	"chr1"	"+"	"P1"	110211480	"ENST00000489935"
"KCND1_P1"	"KCND1"	"chrX"	"-"	"P1"	48971844	"ENST00000218176"
"KCND2_P1"	"KCND2"	"chr7"	"+"	"P1"	120273175	"ENST00000331113"
"KCND3_P1"	"KCND3"	"chr1"	"-"	"P1"	111989647	"ENST00000315987"
"KCNE1_P1"	"KCNE1"	"chr21"	"-"	"P1"	34512210	"ENST00000399286"
"KCNE1B_P2"	"KCNE1B"	"chr21"	"-"	"P2"	7825797	"ENST00000617668"
"KCNE1B_P1"	"KCNE1B"	"chr21"	"-"	"P1"	7829926	"ENST00000622690"
"KCNE2_P1"	"KCNE2"	"chr21"	"+"	"P1"	34364006	"ENST00000290310"
"KCNE3_P1"	"KCNE3"	"chr11"	"-"	"P1"	74462132	"ENST00000525550"
"KCNE3_P2"	"KCNE3"	"chr11"	"-"	"P2"	74467549	"ENST00000310128"
"KCNE4_P1"	"KCNE4"	"chr2"	"+"	"P1"	223052190	"ENST00000281830"
"KCNE5_P1"	"KCNE5"	"chrX"	"-"	"P1"	109625172	"ENST00000372101"
"KCNF1_P1"	"KCNF1"	"chr2"	"+"	"P1"	10911980	"ENST00000295082"
"KCNG1_P1"	"KCNG1"	"chr20"	"-"	"P1"	51023107	"ENST00000371571"
"KCNG2_P1"	"KCNG2"	"chr18"	"+"	"P1"	79863668	"ENST00000316249"
"KCNG2_P2"	"KCNG2"	"chr18"	"+"	"P2"	79875884	"ENST00000590307"
"KCNG3_P1"	"KCNG3"	"chr2"	"-"	"P1"	42493977	"ENST00000306078"
"KCNG4_P1"	"KCNG4"	"chr16"	"-"	"P1"	84240011	"ENST00000308251"
"KCNH1_P1"	"KCNH1"	"chr1"	"-"	"P1"	211134078	"ENST00000367007"
"KCNH2_P1"	"KCNH2"	"chr7"	"-"	"P1"	150955804	"ENST00000330883"
"KCNH2_P2"	"KCNH2"	"chr7"	"-"	"P2"	150978321	"ENST00000262186"
"KCNH3_P1"	"KCNH3"	"chr12"	"+"	"P1"	49539030	"ENST00000649994"
"KCNH4_P1"	"KCNH4"	"chr17"	"-"	"P1"	42181138	"ENST00000607371"
"KCNH5_P1"	"KCNH5"	"chr14"	"-"	"P1"	63045458	"ENST00000322893"
"KCNH6_P1"	"KCNH6"	"chr17"	"+"	"P1"	63523358	"ENST00000456941"
"KCNH7_P1"	"KCNH7"	"chr2"	"-"	"P1"	162838767	"ENST00000332142"
"KCNH8_P1"	"KCNH8"	"chr3"	"+"	"P1"	19148516	"ENST00000328405"
"KCNIP1_P1"	"KCNIP1"	"chr5"	"+"	"P1"	170504020	"ENST00000390656"
"KCNIP2_P1"	"KCNIP2"	"chr10"	"-"	"P1"	101843794	"ENST00000355657"
"KCNIP3_P1"	"KCNIP3"	"chr2"	"+"	"P1"	95297347	"ENST00000295225"
"KCNIP3_ENST00000468529(W)"	"KCNIP3"	"chr2"	"+"	"ENST00000468529(W)"	95346746	NA
"KCNIP4_ENST00000382150(W)"	"KCNIP4"	"chr4"	"-"	"ENST00000382150(W)"	21303987	NA
"KCNIP4_P1"	"KCNIP4"	"chr4"	"-"	"P1"	21948770	"ENST00000447367"
"KCNJ1_P1"	"KCNJ1"	"chr11"	"-"	"P1"	128867296	"ENST00000392665"
"KCNJ10_P1"	"KCNJ10"	"chr1"	"-"	"P1"	160070160	"ENST00000639408"
"KCNJ11_P1"	"KCNJ11"	"chr11"	"-"	"P1"	17389331	"ENST00000528731"
"KCNJ12_P1"	"KCNJ12"	"chr17"	"+"	"P1"	21376359	"ENST00000583088"
"KCNJ13_P1"	"KCNJ13"	"chr2"	"-"	"P1"	232776565	"ENST00000233826"
"KCNJ14_P1"	"KCNJ14"	"chr19"	"+"	"P1"	48455579	"ENST00000342291"
"KCNJ15_P1"	"KCNJ15"	"chr21"	"+"	"P1"	38257092	"ENST00000613499"
"KCNJ16_P1"	"KCNJ16"	"chr17"	"+"	"P1"	70075325	"ENST00000283936"
"KCNJ18_P1"	"KCNJ18"	"chr17"	"+"	"P1"	21692523	"ENST00000567955"
"KCNJ2_P1"	"KCNJ2"	"chr17"	"+"	"P1"	70169539	"ENST00000243457"
"KCNJ3_P1P2(W)"	"KCNJ3"	"chr2"	"+"	"P1P2(W)"	154698261	NA
"KCNJ3_P1"	"KCNJ3"	"chr2"	"+"	"P1"	154709579	"ENST00000493505"
"KCNJ4_P1(D)"	"KCNJ4"	"chr22"	"-"	"P1(D)"	38444132	NA
"KCNJ4_P1"	"KCNJ4"	"chr22"	"-"	"P1"	38455199	"ENST00000303592"
"KCNJ5_P1"	"KCNJ5"	"chr11"	"+"	"P1"	128891356	"ENST00000529694"
"KCNJ6_P1"	"KCNJ6"	"chr21"	"-"	"P1"	37916370	"ENST00000609713"
"KCNJ8_P1"	"KCNJ8"	"chr12"	"-"	"P1"	21774698	"ENST00000240662"
"KCNJ9_P1"	"KCNJ9"	"chr1"	"+"	"P1"	160081538	"ENST00000368088"
"KCNK1_P1"	"KCNK1"	"chr1"	"+"	"P1"	233614134	"ENST00000366621"
"KCNK10_P1"	"KCNK10"	"chr14"	"-"	"P1"	88323221	"ENST00000319231"
"KCNK12_P1"	"KCNK12"	"chr2"	"-"	"P1"	47570952	"ENST00000327876"
"KCNK13_P1"	"KCNK13"	"chr14"	"+"	"P1"	90062018	"ENST00000282146"
"KCNK15_P1"	"KCNK15"	"chr20"	"+"	"P1"	44745865	"ENST00000372861"
"KCNK16_P1"	"KCNK16"	"chr6"	"-"	"P1"	39322989	"ENST00000373229"
"KCNK17_P1"	"KCNK17"	"chr6"	"-"	"P1"	39314419	"ENST00000373231"
"KCNK18_P1"	"KCNK18"	"chr10"	"+"	"P1"	117197489	"ENST00000334549"
"KCNK2_P1"	"KCNK2"	"chr1"	"+"	"P1"	215082749	"ENST00000391894"
"KCNK3_P1"	"KCNK3"	"chr2"	"+"	"P1"	26692731	"ENST00000620977"
"KCNK4_P1"	"KCNK4"	"chr11"	"+"	"P1"	64291302	"ENST00000538846"
"KCNK5_P1"	"KCNK5"	"chr6"	"-"	"P1"	39229473	"ENST00000359534"
"KCNK6_P1"	"KCNK6"	"chr19"	"+"	"P1"	38319854	"ENST00000263372"
"KCNK7_P1"	"KCNK7"	"chr11"	"-"	"P1"	65595799	"ENST00000342202"
"KCNK9_P1(D)"	"KCNK9"	"chr8"	"-"	"P1(D)"	139602229.333333	NA
"KCNK9_P1"	"KCNK9"	"chr8"	"-"	"P1"	139704111	"ENST00000648164"
"KCNMA1_P1"	"KCNMA1"	"chr10"	"-"	"P1"	77637808	"ENST00000639601"
"KCNMB1_P1"	"KCNMB1"	"chr5"	"-"	"P1"	170389367	"ENST00000274629"
"KCNMB2_P1"	"KCNMB2"	"chr3"	"+"	"P1"	178536436	"ENST00000420517"
"KCNMB2_P1(W)"	"KCNMB2"	"chr3"	"+"	"P1(W)"	178558856	NA
"KCNMB3_P3"	"KCNMB3"	"chr3"	"-"	"P3"	179243284	"ENST00000486944"
"KCNMB3_P4"	"KCNMB3"	"chr3"	"-"	"P4"	179251630	"ENST00000392685"
"KCNMB3_P2"	"KCNMB3"	"chr3"	"-"	"P2"	179259208	"ENST00000485523"
"KCNMB3_P1"	"KCNMB3"	"chr3"	"-"	"P1"	179267002	"ENST00000497599"
"KCNMB4_P1"	"KCNMB4"	"chr12"	"+"	"P1"	70366290	"ENST00000258111"
"KCNN1_P1P2(W)"	"KCNN1"	"chr19"	"+"	"P1P2(W)"	17952262	NA
"KCNN1_P1"	"KCNN1"	"chr19"	"+"	"P1"	17967107	"ENST00000609922"
"KCNN2_P1"	"KCNN2"	"chr5"	"+"	"P1"	114362082	"ENST00000610748"
"KCNN3_P1"	"KCNN3"	"chr1"	"-"	"P1"	154870281	"ENST00000271915"
"KCNN4_P1"	"KCNN4"	"chr19"	"-"	"P1"	43780973	"ENST00000648319"
"KCNQ1_P1"	"KCNQ1"	"chr11"	"+"	"P1"	2445008	"ENST00000496887"
"KCNQ2_P1"	"KCNQ2"	"chr20"	"-"	"P1"	63472655	"ENST00000626839"
"KCNQ3_P1"	"KCNQ3"	"chr8"	"-"	"P1"	132481079	"ENST00000388996"
"KCNQ4_P1"	"KCNQ4"	"chr1"	"+"	"P1"	40783814	"ENST00000642618"
"KCNQ5_P1"	"KCNQ5"	"chr6"	"+"	"P1"	72622243	"ENST00000342056"
"KCNRG_P1"	"KCNRG"	"chr13"	"+"	"P1"	50015444	"ENST00000360473"
"KCNS1_P1"	"KCNS1"	"chr20"	"-"	"P1"	45101124	"ENST00000306117"
"KCNS2_P1"	"KCNS2"	"chr8"	"+"	"P1"	98427218	"ENST00000287042"
"KCNS3_P1"	"KCNS3"	"chr2"	"+"	"P1"	17878667	"ENST00000481414"
"KCNT1_P2(W)"	"KCNT1"	"chr9"	"+"	"P2(W)"	135714449	NA
"KCNT1_P1"	"KCNT1"	"chr9"	"+"	"P1"	135736618	"ENST00000263604"
"KCNT2_P1"	"KCNT2"	"chr1"	"-"	"P1"	196608431	"ENST00000367433"
"KCNU1_P1"	"KCNU1"	"chr8"	"+"	"P1"	36784378	"ENST00000523973"
"KCNV1_P1"	"KCNV1"	"chr8"	"-"	"P1"	109975771	"ENST00000524391"
"KCNV2_P1"	"KCNV2"	"chr9"	"+"	"P1"	2717510	"ENST00000382082"
"KCP_P2(W)"	"KCP"	"chr7"	"-"	"P2(W)"	128903362	NA
"KCP_P1"	"KCP"	"chr7"	"-"	"P1"	128910709	"ENST00000610776"
"KCTD1_P1"	"KCTD1"	"chr18"	"-"	"P1"	26548550	"ENST00000580059"
"KCTD10_P1"	"KCTD10"	"chr12"	"-"	"P1"	109477300	"ENST00000228495"
"KCTD11_P1"	"KCTD11"	"chr17"	"+"	"P1"	7352162	"ENST00000576980"
"KCTD12_P1"	"KCTD12"	"chr13"	"-"	"P1"	76886405	"ENST00000377474"
"KCTD13_P1"	"KCTD13"	"chr16"	"-"	"P1"	29926215	"ENST00000308768"
"KCTD14_P1"	"KCTD14"	"chr11"	"-"	"P1"	78023273	"ENST00000353172"
"KCTD15_P1"	"KCTD15"	"chr19"	"+"	"P1"	33796875	"ENST00000587559"
"KCTD16_P1"	"KCTD16"	"chr5"	"+"	"P1"	144205391	"ENST00000507359"
"KCTD17_P1"	"KCTD17"	"chr22"	"+"	"P1"	37051742	"ENST00000610767"
"KCTD18_P1"	"KCTD18"	"chr2"	"-"	"P1"	200510068	"ENST00000359878"
"KCTD19_P1"	"KCTD19"	"chr16"	"-"	"P1"	67326741	"ENST00000570049"
"KCTD2_P1"	"KCTD2"	"chr17"	"+"	"P1"	75047225	"ENST00000375286"
"KCTD20_P1"	"KCTD20"	"chr6"	"+"	"P1"	36443000	"ENST00000373731"
"KCTD21_P1"	"KCTD21"	"chr11"	"-"	"P1"	78188625	"ENST00000340067"
"KCTD3_P1"	"KCTD3"	"chr1"	"+"	"P1"	215567375	"ENST00000259154"
"KCTD4_P1"	"KCTD4"	"chr13"	"-"	"P1"	45194674	"ENST00000379108"
"KCTD5_P1"	"KCTD5"	"chr16"	"+"	"P1"	2682524	"ENST00000301738"
"KCTD6_P1"	"KCTD6"	"chr3"	"+"	"P1"	58492096	"ENST00000404589"
"KCTD7_P1"	"KCTD7"	"chr7"	"+"	"P1"	66629053	"ENST00000639828"
"KCTD8_P1"	"KCTD8"	"chr4"	"-"	"P1"	44448806	"ENST00000360029"
"KCTD9_P1"	"KCTD9"	"chr8"	"-"	"P1"	25458431	"ENST00000221200"
"KDELC1_P1"	"KDELC1"	"chr13"	"-"	"P1"	102798976	"ENST00000376004"
"KDELC2_P1"	"KDELC2"	"chr11"	"-"	"P1"	108498384	"ENST00000323468"
"KDELR1_P1"	"KDELR1"	"chr19"	"-"	"P1"	48391551	"ENST00000330720"
"KDELR2_P1"	"KDELR2"	"chr7"	"-"	"P1"	6484152	"ENST00000463747"
"KDELR3_P1"	"KDELR3"	"chr22"	"+"	"P1"	38468096	"ENST00000216014"
"KDF1_P1"	"KDF1"	"chr1"	"-"	"P1"	26960430	"ENST00000320567"
"KDM1A_P1"	"KDM1A"	"chr1"	"+"	"P1"	23019468	"ENST00000465864"
"KDM1B_P1"	"KDM1B"	"chr6"	"+"	"P1"	18155422	"ENST00000546309"
"KDM2A_P1"	"KDM2A"	"chr11"	"+"	"P1"	67119263	"ENST00000398645"
"KDM2A_P2"	"KDM2A"	"chr11"	"+"	"P2"	67240014	"ENST00000530342"
"KDM2B_P1(D)"	"KDM2B"	"chr12"	"-"	"P1(D)"	121467482	NA
"KDM2B_P1"	"KDM2B"	"chr12"	"-"	"P1"	121580246	"ENST00000377069"
"KDM3A_P1"	"KDM3A"	"chr2"	"+"	"P1"	86441371	"ENST00000542128"
"KDM3B_P1"	"KDM3B"	"chr5"	"+"	"P1"	138352720	"ENST00000314358"
"KDM4A_P1"	"KDM4A"	"chr1"	"+"	"P1"	43650158	"ENST00000372396"
"KDM4B_P1"	"KDM4B"	"chr19"	"+"	"P1"	4969114	"ENST00000611640"
"KDM4C_P1"	"KDM4C"	"chr9"	"+"	"P1"	6758068	"ENST00000438023"
"KDM4D_P1"	"KDM4D"	"chr11"	"+"	"P1"	94973733	"ENST00000335080"
"KDM4E_P1"	"KDM4E"	"chr11"	"+"	"P1"	95025258	"ENST00000450979"
"KDM4F_P1"	"KDM4F"	"chr11"	"+"	"P1"	95049422	"ENST00000545950"
"KDM5A_P1"	"KDM5A"	"chr12"	"-"	"P1"	389284	"ENST00000399788"
"KDM5B_P1"	"KDM5B"	"chr1"	"-"	"P1"	202808421	"ENST00000648338"
"KDM5C_P1"	"KDM5C"	"chrX"	"-"	"P1"	53225207	"ENST00000452825"
"KDM5D_P1"	"KDM5D"	"chrY"	"-"	"P1"	19744726	"ENST00000317961"
"KDM6A_P1"	"KDM6A"	"chrX"	"+"	"P1"	44873188	"ENST00000611820"
"KDM6B_P1"	"KDM6B"	"chr17"	"+"	"P1"	7844201	"ENST00000575521"
"KDM6B_P1P2(W)"	"KDM6B"	"chr17"	"+"	"P1P2(W)"	7847646	NA
"KDM7A_P1"	"KDM7A"	"chr7"	"-"	"P1"	140176983	"ENST00000397560"
"KDM8_P1"	"KDM8"	"chr16"	"+"	"P1"	27203526	"ENST00000286096"
"KDR_P1"	"KDR"	"chr4"	"-"	"P1"	55125595	"ENST00000645273"
"KDSR_P1"	"KDSR"	"chr18"	"-"	"P1"	63367206	"ENST00000645214"
"KEAP1_P1"	"KEAP1"	"chr19"	"-"	"P1"	10503328	"ENST00000171111"
"KEL_P2(W)"	"KEL"	"chr7"	"-"	"P2(W)"	142943892	NA
"KEL_P1"	"KEL"	"chr7"	"-"	"P1"	142962359	"ENST00000355265"
"KERA_P1"	"KERA"	"chr12"	"-"	"P1"	91057924	"ENST00000266719"
"KHDC1_P1"	"KHDC1"	"chr6"	"-"	"P1"	73310156	"ENST00000370384"
"KHDC1L_P1"	"KHDC1L"	"chr6"	"-"	"P1"	73225477	"ENST00000370388"
"KHDC3L_P1"	"KHDC3L"	"chr6"	"+"	"P1"	73362658	"ENST00000370367"
"KHDC4_P1"	"KHDC4"	"chr1"	"-"	"P1"	155934409	"ENST00000368321"
"KHDRBS1_P1"	"KHDRBS1"	"chr1"	"+"	"P1"	32013870	"ENST00000327300"
"KHDRBS2_P1"	"KHDRBS2"	"chr6"	"-"	"P1"	62286173	"ENST00000281156"
"KHDRBS3_P1"	"KHDRBS3"	"chr8"	"+"	"P1"	135457456	"ENST00000355849"
"KHK_P1"	"KHK"	"chr2"	"+"	"P1"	27086772	"ENST00000260599"
"KHNYN_P1"	"KHNYN"	"chr14"	"+"	"P1"	24429954	"ENST00000556842"
"KHSRP_P2"	"KHSRP"	"chr19"	"-"	"P2"	6415851	"ENST00000594745"
